Id,Type,Quantity,Sales,Shipping,Customer Name,Province,Region
1258,Office Supplies,44,181.61,Regular Air,Ralph Kennedy,Nova Scotia,Atlantic
1259,Office Supplies,35,111.55,Regular Air,Ralph Kennedy,Nova Scotia,Atlantic
1260,Technology,36,1435.95,Regular Air,Trudy Schmidt,Nova Scotia,Atlantic
1261,Furniture,28,961.06,Regular Air,Trudy Schmidt,Nova Scotia,Atlantic
1262,Office Supplies,19,146.63,Express Air,Gene Hale,Nova Scotia,Atlantic
1263,Technology,35,2506.2675,Regular Air,Gene Hale,Nova Scotia,Atlantic
1264,Technology,23,188.54,Regular Air,Sarah Bern,Nova Scotia,Atlantic
1265,Furniture,19,359.68,Regular Air,Justin Hirsh,Nova Scotia,Atlantic
1266,Technology,7,131.55,Regular Air,Justin Hirsh,Nova Scotia,Atlantic
1267,Office Supplies,26,258.11,Express Air,Justin Hirsh,Nova Scotia,Atlantic
1268,Technology,9,1288.515,Express Air,Justin Hirsh,Nova Scotia,Atlantic
1269,Office Supplies,36,277.88,Regular Air,Liz Price,Nova Scotia,Atlantic
1270,Furniture,13,3939.89,Delivery Truck,Liz Price,Nova Scotia,Atlantic
1271,Office Supplies,47,925.3,Regular Air,Liz Price,Nova Scotia,Atlantic
1272,Furniture,48,12072.9,Delivery Truck,Greg Maxwell,Nova Scotia,Atlantic
1273,Technology,34,3419.1505,Regular Air,Marc Harrigan,Nova Scotia,Atlantic
1274,Office Supplies,1,195.04,Regular Air,Sally Knutson,Nova Scotia,Atlantic
1275,Furniture,32,1859.01,Delivery Truck,Giulietta Weimer,Nova Scotia,Atlantic
1276,Technology,19,1781.11,Regular Air,Giulietta Weimer,Nova Scotia,Atlantic
1277,Furniture,44,185.32,Regular Air,Giulietta Weimer,Nova Scotia,Atlantic
1278,Office Supplies,15,73.41,Regular Air,Giulietta Weimer,Nova Scotia,Atlantic
1279,Office Supplies,28,43.66,Regular Air,Giulietta Weimer,Nova Scotia,Atlantic
1280,Technology,16,130.11,Regular Air,Kristina Nunn,Nova Scotia,Atlantic
1281,Office Supplies,15,4012.58,Express Air,Kristina Nunn,Nova Scotia,Atlantic
1282,Office Supplies,31,1295.54,Regular Air,Kristina Nunn,Nova Scotia,Atlantic
1283,Office Supplies,24,238.25,Regular Air,Chuck Clark,Nova Scotia,Atlantic
1284,Office Supplies,39,403.73,Regular Air,Sally Knutson,Nova Scotia,Atlantic
1285,Technology,3,86.85,Regular Air,Sally Knutson,Nova Scotia,Atlantic
1286,Furniture,15,1795.49,Delivery Truck,Tanja Norvell,Nova Scotia,Atlantic
1287,Furniture,4,926.58,Delivery Truck,Tanja Norvell,Nova Scotia,Atlantic
1288,Office Supplies,4,38.76,Express Air,Sarah Bern,Nova Scotia,Atlantic
1289,Technology,36,551.44,Regular Air,Liz Price,Nova Scotia,Atlantic
1290,Technology,27,834.0625,Regular Air,Vicky Freymann,Nova Scotia,Atlantic
1291,Office Supplies,15,417.88,Express Air,Philisse Overcash,Nova Scotia,Atlantic
1292,Technology,42,493.56,Regular Air,Justin Hirsh,Nova Scotia,Atlantic
1293,Technology,18,360.24,Express Air,Patrick O'Brill,Nova Scotia,Atlantic
1294,Office Supplies,46,1463.27,Regular Air,Patrick O'Brill,Nova Scotia,Atlantic
1295,Office Supplies,44,210.46,Express Air,Liz Price,Nova Scotia,Atlantic
1296,Office Supplies,32,195.57,Regular Air,Justin Hirsh,Nova Scotia,Atlantic
1297,Furniture,47,691.52,Regular Air,Cathy Armstrong,Nova Scotia,Atlantic
1298,Furniture,37,2756.17,Regular Air,Cathy Armstrong,Nova Scotia,Atlantic
1299,Technology,29,5159.3725,Express Air,Cathy Armstrong,Nova Scotia,Atlantic
1300,Office Supplies,36,307.65,Regular Air,Heather Jas,Nova Scotia,Atlantic
1301,Office Supplies,11,558.62,Regular Air,Justin Hirsh,Nova Scotia,Atlantic
1302,Furniture,21,556.45,Delivery Truck,Lena Hernandez,Nova Scotia,Atlantic
1303,Technology,11,61.46,Express Air,Patrick O'Brill,Nova Scotia,Atlantic
1304,Furniture,31,2137.1,Delivery Truck,Kristina Nunn,Nova Scotia,Atlantic
1305,Office Supplies,48,571.17,Regular Air,Kristina Nunn,Nova Scotia,Atlantic
1306,Office Supplies,24,135.88,Regular Air,Shahid Shariari,Nova Scotia,Atlantic
1307,Technology,20,857.95,Express Air,Justin Hirsh,Nova Scotia,Atlantic
1308,Furniture,33,662.21,Regular Air,Khloe Miller,Nova Scotia,Atlantic
1309,Office Supplies,36,100.68,Regular Air,Paul MacIntyre,Nova Scotia,Atlantic
1310,Office Supplies,22,846.35,Express Air,Patrick O'Brill,Nova Scotia,Atlantic
1311,Technology,26,1976.3945,Regular Air,Patrick O'Brill,Nova Scotia,Atlantic
1312,Furniture,44,442.72,Regular Air,Mike Vittorini,Nova Scotia,Atlantic
1313,Technology,6,326.893,Regular Air,Mike Vittorini,Nova Scotia,Atlantic
1314,Office Supplies,6,22.78,Regular Air,Liz Price,Nova Scotia,Atlantic
1315,Technology,38,1806.43,Regular Air,Paul MacIntyre,Nova Scotia,Atlantic
1316,Office Supplies,29,1669.88,Regular Air,John Grady,Nova Scotia,Atlantic
1317,Furniture,29,2018.45,Regular Air,Ricardo Emerson,Nova Scotia,Atlantic
1318,Office Supplies,29,87.68,Regular Air,Chuck Clark,Nova Scotia,Atlantic
1319,Furniture,46,3732.25,Delivery Truck,Chuck Clark,Nova Scotia,Atlantic
1320,Office Supplies,23,144.55,Regular Air,Sarah Bern,Nova Scotia,Atlantic
1321,Office Supplies,13,75.89,Regular Air,Kristina Nunn,Nova Scotia,Atlantic
1322,Furniture,43,586.11,Regular Air,Matt Abelman,Nova Scotia,Atlantic
1323,Office Supplies,42,75.14,Regular Air,Sarah Jordon,Nova Scotia,Atlantic
1324,Furniture,27,3874.12,Delivery Truck,Sally Matthias,Nova Scotia,Atlantic
1325,Furniture,8,1452.216,Delivery Truck,Sally Matthias,Nova Scotia,Atlantic
1326,Office Supplies,34,840.07,Regular Air,Sally Matthias,Nova Scotia,Atlantic
1327,Furniture,48,4789.89,Delivery Truck,Theone Pippenger,Nova Scotia,Atlantic
1328,Office Supplies,40,430.88,Regular Air,Art Ferguson,Nova Scotia,Atlantic
1329,Office Supplies,7,82.06,Regular Air,Jack O'Briant,Nova Scotia,Atlantic
1330,Technology,41,23281.05,Regular Air,Jack O'Briant,Nova Scotia,Atlantic
1331,Furniture,3,523.11,Delivery Truck,Nathan Cano,Nova Scotia,Atlantic
1332,Technology,29,913.41,Regular Air,Nathan Cano,Nova Scotia,Atlantic
1333,Office Supplies,49,213.71,Regular Air,Michael Granlund,Nova Scotia,Atlantic
1334,Office Supplies,23,133.66,Regular Air,Michael Granlund,Nova Scotia,Atlantic
1335,Technology,7,127.74,Express Air,Steve Carroll,Nova Scotia,Atlantic
1336,Furniture,33,325.92,Regular Air,Steve Carroll,Nova Scotia,Atlantic
1337,Office Supplies,50,325.24,Regular Air,Scott Williamson,Nova Scotia,Atlantic
1338,Office Supplies,40,1765.05,Regular Air,Dennis Bolton,Nova Scotia,Atlantic
1339,Office Supplies,4,12.8,Regular Air,Sean Wendt,Nova Scotia,Atlantic
1340,Furniture,3,709.04,Delivery Truck,John Castell,Nova Scotia,Atlantic
1341,Office Supplies,25,978.77,Regular Air,John Castell,Nova Scotia,Atlantic
1342,Office Supplies,46,129.44,Express Air,Art Ferguson,Nova Scotia,Atlantic
1343,Technology,32,1829.387,Regular Air,Art Ferguson,Nova Scotia,Atlantic
1344,Office Supplies,34,9626.86,Delivery Truck,Jack O'Briant,Nova Scotia,Atlantic
1345,Technology,42,813.535,Express Air,David Philippe,Nova Scotia,Atlantic
1346,Technology,36,18028.07,Delivery Truck,Chad Sievert,Nova Scotia,Atlantic
1347,Technology,47,1880.8,Regular Air,Matt Abelman,Nova Scotia,Atlantic
1348,Technology,42,7143.927,Express Air,Matt Abelman,Nova Scotia,Atlantic
1349,Office Supplies,8,118.98,Regular Air,Shaun Weien,Nova Scotia,Atlantic
1350,Technology,31,4910.09,Regular Air,Shaun Weien,Nova Scotia,Atlantic
1351,Office Supplies,36,1058.45,Regular Air,Shaun Weien,Nova Scotia,Atlantic
1352,Technology,5,820.5645,Regular Air,Maya Herman,Nova Scotia,Atlantic
1353,Technology,5,7486.09,Delivery Truck,David Philippe,Nova Scotia,Atlantic
1354,Office Supplies,18,881.32,Regular Air,David Philippe,Nova Scotia,Atlantic
1355,Office Supplies,5,22.77,Regular Air,David Philippe,Nova Scotia,Atlantic
1356,Technology,5,220.7875,Regular Air,Sally Matthias,Nova Scotia,Atlantic
1357,Furniture,20,160.29,Regular Air,Michael Granlund,Nova Scotia,Atlantic
1358,Office Supplies,3,124.81,Regular Air,David Philippe,Nova Scotia,Atlantic
1359,Office Supplies,47,706.68,Regular Air,Chad Sievert,Nova Scotia,Atlantic
1360,Furniture,24,6408.3,Delivery Truck,Jack O'Briant,Nova Scotia,Atlantic
1361,Furniture,27,63.71,Regular Air,Chad Sievert,Nova Scotia,Atlantic
1362,Office Supplies,14,5388.8,Delivery Truck,Chad Sievert,Nova Scotia,Atlantic
1363,Office Supplies,43,1751.68,Express Air,Chad Sievert,Nova Scotia,Atlantic
1364,Office Supplies,17,86.47,Regular Air,Chad Sievert,Nova Scotia,Atlantic
1365,Office Supplies,31,684.5,Regular Air,Chad Sievert,Nova Scotia,Atlantic
1366,Technology,27,435.27,Regular Air,Sally Matthias,Nova Scotia,Atlantic
1367,Furniture,26,723.82,Regular Air,Sally Matthias,Nova Scotia,Atlantic
1368,Office Supplies,16,1684.96,Regular Air,Ivan Liston,Nova Scotia,Atlantic
1369,Furniture,9,1662.048,Delivery Truck,Ivan Liston,Nova Scotia,Atlantic
1370,Furniture,42,11460.76,Delivery Truck,Ivan Liston,Nova Scotia,Atlantic
1371,Furniture,1,159.51,Delivery Truck,Brad Norvell,Nova Scotia,Atlantic
1372,Technology,30,5015.051,Regular Air,Brad Norvell,Nova Scotia,Atlantic
1373,Office Supplies,45,168.66,Regular Air,Ken Heidel,Nova Scotia,Atlantic
1374,Technology,34,2560.59,Regular Air,Michael Granlund,Nova Scotia,Atlantic
1375,Office Supplies,16,189.04,Regular Air,Michael Granlund,Nova Scotia,Atlantic
1376,Office Supplies,37,2116.62,Regular Air,John Castell,Nova Scotia,Atlantic
1377,Furniture,32,28180.08,Delivery Truck,Sally Matthias,Nova Scotia,Atlantic
1378,Office Supplies,12,27.05,Express Air,Ken Heidel,Nova Scotia,Atlantic
1379,Technology,34,6580.16,Delivery Truck,Mike Kennedy,Nova Scotia,Atlantic
1380,Technology,37,5610.84,Regular Air,Charles Sheldon,Nova Scotia,Atlantic
1381,Office Supplies,20,455.34,Delivery Truck,Charles Sheldon,Nova Scotia,Atlantic
1382,Technology,35,2329.646,Express Air,Charles Sheldon,Nova Scotia,Atlantic
1383,Office Supplies,36,275.06,Regular Air,Mike Kennedy,Nova Scotia,Atlantic
1384,Furniture,1,27.96,Regular Air,Matt Abelman,Nova Scotia,Atlantic
1385,Technology,45,3699.22,Delivery Truck,Sally Matthias,Nova Scotia,Atlantic
1386,Office Supplies,6,48.93,Regular Air,Sally Matthias,Nova Scotia,Atlantic
1387,Technology,5,397.55,Regular Air,Brad Norvell,Nova Scotia,Atlantic
1388,Office Supplies,34,676.26,Regular Air,Brad Norvell,Nova Scotia,Atlantic
1389,Furniture,42,451.32,Regular Air,Art Ferguson,Nova Scotia,Atlantic
1390,Office Supplies,15,217.66,Express Air,Art Ferguson,Nova Scotia,Atlantic
1391,Office Supplies,5,1374.67,Delivery Truck,Art Ferguson,Nova Scotia,Atlantic
1392,Office Supplies,12,76.42,Express Air,Art Ferguson,Nova Scotia,Atlantic
1393,Office Supplies,27,4891.86,Delivery Truck,Brian Derr,Nova Scotia,Atlantic
1394,Furniture,37,6039.1,Delivery Truck,Brian Derr,Nova Scotia,Atlantic
1395,Office Supplies,31,206.49,Regular Air,Brian Derr,Nova Scotia,Atlantic
1396,Office Supplies,41,80.54,Regular Air,Brian Derr,Nova Scotia,Atlantic
1397,Furniture,8,1217.62,Delivery Truck,Roland Black,Nova Scotia,Atlantic
1398,Technology,32,1725.0325,Regular Air,Roland Black,Nova Scotia,Atlantic
1399,Office Supplies,20,82.97,Regular Air,Matt Abelman,Nova Scotia,Atlantic
1400,Furniture,25,13701.35,Delivery Truck,Matt Abelman,Nova Scotia,Atlantic
1401,Office Supplies,24,512.83,Regular Air,Roland Black,Nova Scotia,Atlantic
1402,Office Supplies,35,41.23,Regular Air,Mike Kennedy,Nova Scotia,Atlantic
1403,Technology,7,381.1995,Express Air,Dana Kaydos,Nova Scotia,Atlantic
1404,Office Supplies,32,135.2,Regular Air,Darren Koutras,Nova Scotia,Atlantic
1405,Furniture,35,5428.49,Delivery Truck,Charles Sheldon,Nova Scotia,Atlantic
1406,Furniture,41,5178.17,Delivery Truck,Steve Carroll,Nova Scotia,Atlantic
1407,Furniture,32,535.24,Regular Air,Steve Carroll,Nova Scotia,Atlantic
1408,Office Supplies,32,563.08,Regular Air,Sean Wendt,Nova Scotia,Atlantic
1409,Technology,5,192.12,Regular Air,Sarah Jordon,Nova Scotia,Atlantic
1410,Technology,33,3917.61,Delivery Truck,Sarah Jordon,Nova Scotia,Atlantic
1411,Office Supplies,34,2788.04,Regular Air,Sarah Jordon,Nova Scotia,Atlantic
1412,Office Supplies,4,56.47,Regular Air,Neil Ducich,Nova Scotia,Atlantic
1413,Furniture,19,216.25,Regular Air,Sarah Jordon,Nova Scotia,Atlantic
1414,Office Supplies,40,1861.36,Regular Air,Michael Granlund,Nova Scotia,Atlantic
1415,Office Supplies,42,937.62,Regular Air,Michael Granlund,Nova Scotia,Atlantic
1416,Office Supplies,11,33.02,Regular Air,Michael Granlund,Nova Scotia,Atlantic
1417,Technology,5,199.16,Regular Air,Sean Wendt,Nova Scotia,Atlantic
1418,Office Supplies,28,967.27,Regular Air,Theone Pippenger,Nova Scotia,Atlantic
1419,Office Supplies,45,483.74,Regular Air,Michael Granlund,Nova Scotia,Atlantic
1420,Office Supplies,27,159.65,Regular Air,Michael Granlund,Nova Scotia,Atlantic
1421,Technology,43,7452.137,Regular Air,Art Ferguson,Nova Scotia,Atlantic
1422,Office Supplies,37,173.11,Regular Air,Roland Black,Nova Scotia,Atlantic
1423,Office Supplies,11,86.68,Regular Air,Roland Black,Nova Scotia,Atlantic
1424,Office Supplies,41,833.51,Regular Air,Roland Black,Nova Scotia,Atlantic
1425,Technology,9,1031.06,Regular Air,Art Ferguson,Nova Scotia,Atlantic
1426,Furniture,14,138.31,Regular Air,Sean Wendt,British Columbia,West
1427,Office Supplies,17,30.62,Regular Air,Mike Kennedy,British Columbia,West
1428,Furniture,12,2266.7,Delivery Truck,Matt Abelman,British Columbia,West
1429,Technology,23,38.99,Regular Air,Sally Matthias,British Columbia,West
1430,Office Supplies,48,80.33,Regular Air,Steve Carroll,British Columbia,West
1431,Furniture,42,6244.18,Delivery Truck,Matt Abelman,British Columbia,West
1432,Office Supplies,41,239.75,Regular Air,Matt Abelman,British Columbia,West
1433,Office Supplies,30,150.2,Regular Air,Matt Abelman,British Columbia,West
1434,Office Supplies,5,2019.65,Regular Air,John Castell,British Columbia,West
1435,Office Supplies,7,55.81,Regular Air,Neil Ducich,British Columbia,West
1436,Office Supplies,38,373.07,Regular Air,Neil Ducich,British Columbia,West
1437,Office Supplies,37,161.02,Regular Air,Parhena Norris,British Columbia,West
1438,Office Supplies,39,679.95,Regular Air,Mike Kennedy,British Columbia,West
1439,Office Supplies,44,1579.56,Regular Air,Mike Kennedy,British Columbia,West
1440,Office Supplies,32,4906.85,Regular Air,Sean Wendt,British Columbia,West
1441,Technology,5,2017.5,Delivery Truck,Matt Abelman,British Columbia,West
1442,Technology,21,8468.63,Delivery Truck,Roland Black,British Columbia,West
1443,Office Supplies,46,265.88,Regular Air,Ken Heidel,British Columbia,West
1444,Technology,1,1500.82,Delivery Truck,Ken Heidel,British Columbia,West
1445,Technology,19,3093.864,Regular Air,Ken Heidel,British Columbia,West
1446,Office Supplies,6,232.21,Regular Air,Sarah Jordon,British Columbia,West
1447,Office Supplies,16,88.3,Regular Air,Sarah Jordon,British Columbia,West
1448,Furniture,26,191.55,Regular Air,John Castell,British Columbia,West
1449,Office Supplies,29,938.86,Regular Air,John Castell,British Columbia,West
1450,Office Supplies,46,503.17,Regular Air,Bart Watters,British Columbia,West
1451,Office Supplies,14,453.99,Regular Air,Sean Wendt,British Columbia,West
1452,Furniture,37,284.58,Regular Air,Mary O'Rourke,British Columbia,West
1453,Office Supplies,9,1010.26,Regular Air,Mary O'Rourke,British Columbia,West
1454,Technology,23,990.5,Regular Air,Nathan Cano,British Columbia,West
1455,Furniture,49,651.9,Regular Air,Matt Abelman,British Columbia,West
1456,Technology,27,2575.01,Regular Air,Michael Granlund,British Columbia,West
1457,Office Supplies,32,85.49,Regular Air,Neil Ducich,British Columbia,West
1458,Office Supplies,15,926.3,Regular Air,Neil Ducich,British Columbia,West
1459,Office Supplies,2,68.66,Regular Air,Ken Heidel,British Columbia,West
1460,Office Supplies,30,201.09,Regular Air,Dana Kaydos,British Columbia,West
1461,Office Supplies,17,191.67,Regular Air,Steve Carroll,British Columbia,West
1462,Technology,28,2752,Express Air,Chad Sievert,British Columbia,West
1463,Office Supplies,12,72.82,Regular Air,Chad Sievert,British Columbia,West
1464,Office Supplies,13,64.46,Regular Air,John Castell,British Columbia,West
1465,Office Supplies,50,298.12,Regular Air,Mark Cousins,British Columbia,West
1466,Furniture,37,4411.5,Delivery Truck,Hunter Lopez,British Columbia,West
1467,Office Supplies,29,213.35,Regular Air,Nathan Mautz,British Columbia,West
1468,Office Supplies,44,447.42,Regular Air,Shaun Weien,British Columbia,West
1469,Office Supplies,41,90.88,Regular Air,Nathan Mautz,British Columbia,West
1470,Technology,4,29.05,Express Air,Theone Pippenger,British Columbia,West
1471,Office Supplies,23,1314.64,Express Air,Nathan Cano,British Columbia,West
1472,Office Supplies,49,638.91,Regular Air,Bart Watters,British Columbia,West
1473,Office Supplies,46,2332.23,Express Air,Matt Abelman,British Columbia,West
1474,Technology,33,4610.35,Delivery Truck,Matt Abelman,British Columbia,West
1475,Furniture,18,610.07,Delivery Truck,Matt Abelman,British Columbia,West
1476,Office Supplies,14,181.49,Regular Air,Matt Abelman,British Columbia,West
1477,Office Supplies,41,248.86,Regular Air,Scott Williamson,British Columbia,West
1478,Office Supplies,42,278.01,Regular Air,Scott Williamson,British Columbia,West
1479,Office Supplies,50,281.81,Regular Air,Nathan Cano,British Columbia,West
1480,Technology,14,243.23,Regular Air,Sean Wendt,British Columbia,West
1481,Technology,24,1326.51,Regular Air,Sean Wendt,British Columbia,West
1482,Office Supplies,31,127.9,Regular Air,Hunter Lopez,British Columbia,West
1483,Office Supplies,17,110.74,Regular Air,Mike Kennedy,British Columbia,West
1484,Office Supplies,26,73.82,Regular Air,Mike Kennedy,Manitoba,Prarie
1485,Office Supplies,38,154.85,Regular Air,Mark Cousins,Manitoba,Prarie
1486,Technology,32,4941.7725,Regular Air,Mark Cousins,Manitoba,Prarie
1487,Technology,24,1155.5835,Regular Air,Roland Black,Manitoba,Prarie
1488,Office Supplies,19,77.57,Regular Air,Bart Watters,Manitoba,Prarie
1489,Furniture,44,12689.87,Delivery Truck,Matt Abelman,Manitoba,Prarie
1490,Office Supplies,24,905.32,Regular Air,Parhena Norris,Manitoba,Prarie
1491,Technology,16,1702.499,Regular Air,Parhena Norris,Manitoba,Prarie
1492,Furniture,27,632.55,Regular Air,Mike Kennedy,Manitoba,Prarie
1493,Office Supplies,48,90.96,Regular Air,Mike Kennedy,Manitoba,Prarie
1494,Furniture,32,1997.13,Regular Air,Mike Kennedy,Manitoba,Prarie
1495,Office Supplies,10,64.13,Regular Air,Mike Kennedy,Manitoba,Prarie
1496,Office Supplies,24,492.71,Regular Air,Theone Pippenger,Manitoba,Prarie
1497,Furniture,14,1042.06,Delivery Truck,Theone Pippenger,Manitoba,Prarie
1498,Technology,16,760.2485,Regular Air,Sally Matthias,Manitoba,Prarie
1499,Furniture,43,5041.46,Delivery Truck,Dana Kaydos,Manitoba,Prarie
1500,Office Supplies,45,282.98,Regular Air,Dana Kaydos,Manitoba,Prarie
1501,Furniture,27,8817.71,Delivery Truck,Dana Kaydos,Manitoba,Prarie
1502,Furniture,39,1140.26,Express Air,Dana Kaydos,Manitoba,Prarie
1503,Office Supplies,31,2645.8,Regular Air,Dana Kaydos,Manitoba,Prarie
1504,Office Supplies,32,11103.75,Delivery Truck,Sean Wendt,Manitoba,Prarie
1505,Technology,46,7965.9025,Regular Air,Nathan Mautz,Manitoba,Prarie
1506,Furniture,44,3202.25,Regular Air,Aaron Smayling,Manitoba,Prarie
1507,Office Supplies,11,81.25,Regular Air,Aaron Smayling,Manitoba,Prarie
1508,Office Supplies,18,57.17,Regular Air,Aaron Smayling,Manitoba,Prarie
1509,Office Supplies,12,41.97,Regular Air,Aaron Smayling,Manitoba,Prarie
1510,Office Supplies,10,35.64,Regular Air,Aaron Smayling,Manitoba,Prarie
1511,Technology,8,28761.52,Regular Air,Parhena Norris,Manitoba,Prarie
1512,Technology,33,750.66,Regular Air,Charles Sheldon,Manitoba,Prarie
1513,Technology,8,254.32,Regular Air,Charles Sheldon,Manitoba,Prarie
1514,Furniture,42,2149.37,Regular Air,Charles Sheldon,Manitoba,Prarie
1515,Furniture,33,5661.08,Delivery Truck,Mark Cousins,Manitoba,Prarie
1516,Office Supplies,25,334.71,Regular Air,Shaun Weien,Manitoba,Prarie
1517,Furniture,49,1981.26,Express Air,Mary O'Rourke,Manitoba,Prarie
1518,Furniture,15,1756.46,Delivery Truck,Mark Cousins,Manitoba,Prarie
1519,Office Supplies,8,49.04,Regular Air,Brad Norvell,Manitoba,Prarie
1520,Furniture,6,2320.35,Delivery Truck,Brad Norvell,Manitoba,Prarie
1521,Office Supplies,26,139.54,Regular Air,Parhena Norris,Manitoba,Prarie
1522,Furniture,28,199.52,Regular Air,Parhena Norris,Manitoba,Prarie
1523,Office Supplies,39,85.66,Regular Air,Parhena Norris,Manitoba,Prarie
1524,Office Supplies,14,35.48,Regular Air,Chad Sievert,Manitoba,Prarie
1525,Office Supplies,1,15,Regular Air,Chad Sievert,Manitoba,Prarie
1526,Office Supplies,18,1758.41,Delivery Truck,Brian Derr,Manitoba,Prarie
1527,Technology,47,2766.818,Regular Air,Neil Ducich,Manitoba,Prarie
1528,Furniture,38,689.67,Regular Air,Sarah Jordon,Manitoba,Prarie
1529,Technology,30,2219.79,Delivery Truck,Theone Pippenger,Manitoba,Prarie
1530,Office Supplies,25,237.36,Regular Air,Theone Pippenger,Manitoba,Prarie
1531,Furniture,35,195.23,Regular Air,Theone Pippenger,Manitoba,Prarie
1532,Furniture,35,4051.8,Delivery Truck,Theone Pippenger,Manitoba,Prarie
1533,Office Supplies,4,3465.97,Regular Air,Mike Kennedy,Manitoba,Prarie
1534,Technology,13,1307.88,Regular Air,Mike Kennedy,Manitoba,Prarie
1535,Office Supplies,13,104.51,Regular Air,Michael Granlund,Manitoba,Prarie
1536,Technology,12,1064.7865,Regular Air,Michael Granlund,Manitoba,Prarie
1537,Furniture,10,131.09,Regular Air,Dana Kaydos,Manitoba,Prarie
1538,Office Supplies,33,1817.9,Regular Air,Dana Kaydos,Manitoba,Prarie
1539,Office Supplies,17,124.06,Regular Air,Nathan Mautz,Manitoba,Prarie
1540,Technology,19,138.05,Regular Air,Ken Heidel,Manitoba,Prarie
1541,Furniture,29,433.44,Regular Air,Art Ferguson,Manitoba,Prarie
1542,Office Supplies,8,55.59,Express Air,Roland Black,Manitoba,Prarie
1543,Office Supplies,33,112.36,Regular Air,Steve Carroll,Manitoba,Prarie
1544,Technology,16,481.049,Regular Air,Steve Carroll,Manitoba,Prarie
1545,Office Supplies,36,562.8,Regular Air,Nathan Mautz,Manitoba,Prarie
1546,Furniture,43,5544.99,Delivery Truck,Matt Abelman,Manitoba,Prarie
1547,Technology,12,2011.6355,Express Air,Bart Watters,Manitoba,Prarie
1548,Office Supplies,43,260.59,Regular Air,Nathan Cano,Manitoba,Prarie
1549,Office Supplies,13,75.27,Regular Air,Shaun Weien,Manitoba,Prarie
1550,Technology,31,1184.53,Regular Air,Shaun Weien,Manitoba,Prarie
1551,Technology,35,3683.73,Regular Air,Shaun Weien,Manitoba,Prarie
1552,Office Supplies,42,364.8,Regular Air,Brad Norvell,Manitoba,Prarie
1553,Technology,48,15602.93,Delivery Truck,Bart Watters,Manitoba,Prarie
1554,Furniture,8,1118.82,Delivery Truck,Theone Pippenger,Manitoba,Prarie
1555,Office Supplies,48,79.75,Regular Air,Theone Pippenger,Manitoba,Prarie
1556,Furniture,36,10006.28,Delivery Truck,Art Ferguson,Manitoba,Prarie
1557,Office Supplies,36,407.17,Regular Air,Art Ferguson,Manitoba,Prarie
1558,Office Supplies,14,199.93,Regular Air,Dennis Bolton,Manitoba,Prarie
1559,Office Supplies,22,834.81,Regular Air,Mary O'Rourke,Manitoba,Prarie
1560,Office Supplies,39,335.35,Regular Air,Joel Jenkins,Manitoba,Prarie
1561,Office Supplies,10,1925.83,Regular Air,Meg O'Connel,Manitoba,Prarie
1562,Office Supplies,15,605.1,Express Air,Hallie Redmond,Manitoba,Prarie
1563,Office Supplies,15,113.5,Regular Air,Liz Thompson,Manitoba,Prarie
1564,Technology,17,357.43,Regular Air,Robert Waldorf,Manitoba,Prarie
1565,Office Supplies,21,4754.08,Delivery Truck,Robert Waldorf,Manitoba,Prarie
1566,Technology,13,1601.32,Delivery Truck,Helen Andreada,Manitoba,Prarie
1567,Office Supplies,43,264.75,Regular Air,Julia Dunbar,Manitoba,Prarie
1568,Furniture,44,3367.24,Regular Air,Christine Sundaresam,Manitoba,Prarie
1569,Furniture,37,5723.24,Delivery Truck,Christine Sundaresam,Manitoba,Prarie
1570,Office Supplies,27,188.07,Regular Air,Bruce Stewart,Manitoba,Prarie
1571,Office Supplies,43,1281.28,Regular Air,Julia Dunbar,Manitoba,Prarie
1572,Furniture,13,1940.31,Delivery Truck,Julia Dunbar,Manitoba,Prarie
1573,Technology,4,430.848,Regular Air,Julia Dunbar,Manitoba,Prarie
1574,Furniture,40,933.21,Regular Air,Guy Thornton,Manitoba,Prarie
1575,Furniture,10,748.25,Delivery Truck,Helen Andreada,Manitoba,Prarie
1576,Office Supplies,15,260.39,Regular Air,Mary Zewe,Manitoba,Prarie
1577,Furniture,50,3904.12,Delivery Truck,Meg O'Connel,Manitoba,Prarie
1578,Furniture,41,343.64,Regular Air,Meg O'Connel,Manitoba,Prarie
1579,Office Supplies,42,256.64,Regular Air,Meg O'Connel,Manitoba,Prarie
1580,Office Supplies,25,185.64,Regular Air,Meg O'Connel,Manitoba,Prarie
1581,Office Supplies,34,225.98,Regular Air,Meg O'Connel,Manitoba,Prarie
1582,Furniture,1,16.73,Regular Air,Ken Lonsdale,Manitoba,Prarie
1583,Office Supplies,17,518.8,Regular Air,Ken Lonsdale,Manitoba,Prarie
1584,Office Supplies,10,42.67,Regular Air,Christine Sundaresam,Manitoba,Prarie
1585,Furniture,32,690.88,Regular Air,Maria Bertelson,Manitoba,Prarie
1586,Technology,32,824.24,Regular Air,Ken Lonsdale,Manitoba,Prarie
1587,Office Supplies,14,438.47,Express Air,Bruce Stewart,Manitoba,Prarie
1588,Technology,11,230.72,Regular Air,Maria Bertelson,Manitoba,Prarie
1589,Office Supplies,45,293.47,Regular Air,Maria Bertelson,Manitoba,Prarie
1590,Office Supplies,33,88.7,Regular Air,Maria Bertelson,Manitoba,Prarie
1591,Office Supplies,23,262.78,Regular Air,Maria Bertelson,Manitoba,Prarie
